__LAST_UPDATED__,PCLC Lions Pantry
__LAST_UPDATED__,2026-06-17 Verified by David Chan
__LAST_UPDATED__,Last Minute Changes and Notes
low-17,Get name of person picking up and warn if they attempt to pick up Saturday again we will confiscate their card and notify SFMFoodbank
een-10,New Add-Card printed 6/15/26
ple-47,New Add-Card printed 5-25-26
red-28,Barcoded card ready to swap last attended 4-9-26
low-21,New card printed with corrected spelling of Alt Last Name-Please swap card
lue-42,New Add-Card printed 5-12-26
lue-43,New Add-Card printed 5-14-26
